Date,EUR/KRW
2024-11-29,1478.06
2024-12-31,1529.8
2025-01-31,1495.84
2025-02-28,1533.27
2025-03-31,1594.43
2025-04-30,1623.94
2025-05-30,1571.08
2025-06-30,1596.16
2025-07-31,1592.74
2025-08-29,1626.66
2025-09-30,1649.87
2025-10-31,1650.46
2025-11-28,1704.82
